Deal ID,Deal Owner,Deal Owner ID,Amount,Deal Name,Closing Date,Account Name,Account ID,Stage,Type,Probability (%),Next Step,Lead Source,Campaign Source,Campaign Source ID,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Description,Contact Name,Contact ID,Expected Revenue,Currency,Exchange Rate,Last Activity Time,Lead Conversion Time,Sales Cycle Duration,Overall Sales Duration,Layout,Layout Id,Territory,Product Type
zcrm_2031220000000430021,Amelia Burrows,zcrm_2031220000000101003,45000,Marker Corp.-,last60days,Marker Corp.,zcrm_2031220000000430017,Closed Won,New Business,100,2nd Follow up,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/9/16 2:53,3/28/17 7:03,,Anita William,zcrm_2031220000000430019,450000,USD,1,3/28/17 7:03,0,8,8,Standard,zcrm_2031220000000091023,APAC,
zcrm_2031220000000443314,Amelia Burrows,zcrm_2031220000000101003,54000,Jonathan Bros-,last30days,Jonathan Bros,zcrm_2031220000000443310,Closed Won,New Business,100,,Cold Call,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/14/16 1:25,12/29/16 5:17,,Jonathan Harris,zcrm_2031220000000443312,450000,USD,1,2/15/17 22:46,0,33,33,Standard,zcrm_2031220000000091023,APAC,
zcrm_2031220000000500016,Amelia Burrows,zcrm_2031220000000101003,56700,Mosocco-,last30days,Mosocco,zcrm_2031220000000500012,Closed Won,New Business,100,2nd Follow up,Seminar Partner,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/21/16 1:36,3/28/17 7:03,,Solange Shinko,zcrm_2031220000000500014,56700,USD,1,3/28/17 7:03,0,3,3,Standard,zcrm_2031220000000091023,APAC,
zcrm_2031220000000553011,Amelia Burrows,zcrm_2031220000000101003,500,New Website,yesterday,gmail,zcrm_2031220000000103183,Closed Won,New Business,100,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,11/30/16 11:37,3/28/17 7:03,,Inda Agarwal,zcrm_2031220000000553009,500,USD,1,3/28/17 7:03,0,0,0,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000555042,Amelia Burrows,zcrm_2031220000000101003,23000,Johnsons & Co.-,today,Johnsons & Co.,zcrm_2031220000000555038,Closed Won,New Business,100,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/1/16 1:59,3/28/17 7:03,,John Hernandez,zcrm_2031220000000555040,100000,USD,1,3/28/17 7:03,8,2,10,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000555070,Amelia Burrows,zcrm_2031220000000101003,46000,Blinkers Corp.-,today,Blinkers Corp.,zcrm_2031220000000555066,Closed Won,Existing Business,100,,Advertisement,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/1/16 2:17,3/28/17 7:03,,Sarah Marshall,zcrm_2031220000000555068,550000,USD,1,3/28/17 7:09,0,2,2,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000564003,Amelia Burrows,zcrm_2031220000000101003,45000,Blinkers Corp.-,last7days,Blinkers Corp.,zcrm_2031220000000555066,Closed Won,New Business,100,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/1/16 22:44,12/15/16 23:18,,Sarah Marshall,zcrm_2031220000000564001,45000,USD,1,12/15/16 23:23,0,2,2,Standard,zcrm_2031220000000091023,America,
zcrm_2031220000000574133,Amelia Burrows,zcrm_2031220000000101003,1000,Bear Stearns & Company Incorporated- 20 widgets,last30days,Bear Stearns & Company Incorporated,zcrm_2031220000000574127,Closed Won,New Business,100,,Facebook,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/7/16 22:54,3/28/17 7:03,,John Hernandez,zcrm_2031220000000574131,1000,USD,1,3/28/17 7:03,3,9,12,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000574179,Amelia Burrows,zcrm_2031220000000101003,1000,Bear Stearns & Company Incorporated-55 widgets,last60days,Bear Stearns & Company Incorporated,zcrm_2031220000000574127,Closed Won,New Business,100,2nd Follow up,Facebook,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/8/16 1:56,3/28/17 7:03,,John Hernandez,zcrm_2031220000000574177,1000,USD,1,3/28/17 7:03,0,2,2,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000591009,Amelia Burrows,zcrm_2031220000000101003,44000,Grace Associates- 20 Widgets,last30days,Grace Associates,zcrm_2031220000000591005,Closed Won,New Business,100,2nd Follow up,Cold Call,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/11/16 23:02,3/28/17 7:03,,Amy Gracelin,zcrm_2031220000000591007,44000,USD,1,3/28/17 7:03,0,6,6,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000597013,Amelia Burrows,zcrm_2031220000000101003,34000,Stone Inc.-,today,Stone Inc.,zcrm_2031220000000597009,Closed Won,New Business,100,2nd Follow up,External Referral,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/13/16 23:04,3/28/17 7:03,,Charles Stone,zcrm_2031220000000597011,34000,USD,1,3/28/17 7:03,0,9,9,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000616056,Alicia Banks,zcrm_2031220000000114326,20000,Rousseaux-,yesterday,Rousseaux,zcrm_2031220000000616052,Closed Won,New Business,100,,Public Relations,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,12/15/16 23:36,2/15/17 22:27,,Wilbur Albares,zcrm_2031220000000616054,20000,USD,1,2/15/17 22:46,14,8,22,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000668048,Amelia Burrows,zcrm_2031220000000101003,1000,Bear Stearns & Company Incorporated-10 Widgets,last30days,Bear Stearns & Company Incorporated,zcrm_2031220000000668042,Closed Won,Existing Business,100,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,1/2/17 5:45,3/28/17 7:03,,John Hernandez,zcrm_2031220000000668046,1000,USD,1,3/28/17 7:03,1,9,10,Standard,zcrm_2031220000000091023,America,
zcrm_2031220000000691067,Amelia Burrows,zcrm_2031220000000101003,20000,Rousseaux-,last60days,Rousseaux,zcrm_2031220000000691063,Closed Won,New Business,100,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,1/11/17 3:08,3/28/17 7:03,,Wilbur Albares,zcrm_2031220000000691065,20000,USD,1,3/28/17 7:03,0,0,0,Standard,zcrm_2031220000000091023,Central,
zcrm_2031220000000781001,Amelia Burrows,zcrm_2031220000000101003,50000,100 widgets,next30days,Snow White Bakers,zcrm_2031220000000114113,Proposal/Price Quote,New Business,50,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,2/15/17 23:00,3/15/17 1:38,,Maria James,zcrm_2031220000000107327,37500,USD,1,3/15/17 1:38,,90,90,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000781013,Amelia Burrows,zcrm_2031220000000101003,42000,600 Widgets,nextweek,Wild Oats Markets,zcrm_2031220000000103144,Negotiation/Review,New Business,90,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,2/19/17 23:51,3/15/17 1:36,,Anne Smith,zcrm_2031220000000103148,45000,USD,1,3/15/17 1:36,,181,181,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000781023,Amelia Burrows,zcrm_2031220000000101003,34000,1200 Widgets,thisweek,Frost essentials,zcrm_2031220000000221053,Negotiation/Review,Existing Business,90,,,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,2/19/17 23:57,3/15/17 1:36,,Sarah Turner,zcrm_2031220000000221059,45000,USD,1,3/15/17 1:36,,203,203,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000829025,Amelia Burrows,zcrm_2031220000000101003,20000,Lamont Industries - TV Ad,next7days,Rolling Stone Movers,zcrm_2031220000000829021,Proposal/Price Quote,New Business,50,,Webforms,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,3/14/17 14:12,3/15/17 1:38,,Chuck Stone,zcrm_2031220000000829023,15000,USD,1,3/28/17 7:09,0,10,10,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000866303,Tai Chang,zcrm_2031220000000114318,26500,Deal - Smith & Smith Associates,next30days,Smith & Smith Associates,zcrm_2031220000000866299,Qualification,New Business,40,,Facebook,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,3/28/17 3:02,3/28/17 3:02,,Kurt Rocha,zcrm_2031220000000866301,0,USD,1,3/28/17 3:02,245,4,249,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000866325,Martha Hills,zcrm_2031220000000114310,34000,Deal - Nizel Studios,next7days,Nizel Studios,zcrm_2031220000000866321,Qualification,New Business,40,,OnlineStore,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,3/28/17 3:02,3/28/17 3:02,,Jack Watson,zcrm_2031220000000866323,0,USD,1,3/28/17 3:02,130,4,134,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000866347,Martha Hills,zcrm_2031220000000114310,42000,Newspaper - Front page - Full,tomorrow,Commercial Press,zcrm_2031220000000866343,Negotiation/Review,Existing Business,90,,Web Download,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,3/28/17 3:02,3/28/17 6:46,,Leota Dilliard,zcrm_2031220000000866345,0,USD,1,3/28/17 6:46,115,4,119,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000868023,Martha Hills,zcrm_2031220000000114310,12000,Deal - Commercial Press,next30days,Commercial Press,zcrm_2031220000000866343,Qualification,New Business,40,,Web Download,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,3/28/17 6:45,3/28/17 6:45,,Leota Dilliard,zcrm_2031220000000866345,0,USD,1,3/28/17 6:45,,3,3,Standard,zcrm_2031220000000091023,,
zcrm_2031220000000868033,Amelia Burrows,zcrm_2031220000000101003,5000,55 widgets,nextweek,Treble Notes Inc,zcrm_2031220000000114001,Value Proposition,Existing Business,30,,Partner,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,3/28/17 6:45,3/28/17 6:45,,,,2000,USD,1,3/28/17 6:45,,0,0,Standard,zcrm_2031220000000091023,Australia,
zcrm_2031220000000868043,Amelia Burrows,zcrm_2031220000000101003,7600,Deal for 55 widgets,next7days,Treble Notes Inc,zcrm_2031220000000114001,Value Proposition,Existing Business,30,,Partner,,,Amelia Burrows,zcrm_2031220000000101003,Amelia Burrows,zcrm_2031220000000101003,3/28/17 6:45,3/28/17 6:45,,,,2000,USD,1,3/28/17 6:45,,0,0,Standard,zcrm_2031220000000091023,Australia,
