Lead Id,Lead Owner,Lead Owner Id,Company,First Name,Last Name,Title,Email,Phone,Mobile,Website,Lead Source,Lead Status,Industry,No of Employees,Created By,Created By Id,Modified By,Modified By Id,Created Time,Modified Time,Skype ID,Email Opt Out,Salutation,Secondary Email,Currency,Exchange Rate,Last Activity Time,Twitter,Sub-Industry,Middle Name,Street,City,State,Zip Code,Country,Description
zcrm_265928000000152069,Amelia Burrows,zcrm_265928000000034003,PerkinElmer Inc,Joe,Fong,IT Manager,joe.fong@perkinelmer.com,888-555-5577,865-555-5577,,External Referral,Contacted,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,1300 W Optical Dr,Azusa,,91702-3251,United States,
zcrm_265928000000152075,Amelia Burrows,zcrm_265928000000034003,Providence St Joseph Medical Center,Daniel,Robins,CIO,daniel@samplecompany.com,888-555-7890,865-555-7890,,External Referral,Contacted,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,501 S Buena Vista St,Burbank,,91505-4809,Unite Kingdom,
zcrm_265928000000152079,Amelia Burrows,zcrm_265928000000034003,Walt Disney Travel Company,Michael,Eisner,CEO,michael@samplecompany.com,888-555-1245,865-555-1245,,Advertisement,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,500 S. Buena Vista St.,Burbank,,91521,United States,
zcrm_265928000000152081,Amelia Burrows,zcrm_265928000000034003,Alcoa Fastening Systems,Pete,Jespersen,System Manager,pete.j@samplecompany.com,888-555-5689,865-555-5689,,Advertisement,Junk Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,135 N Unruh Ave,City of Industry,,91744-4427,United States,
zcrm_265928000000152083,Amelia Burrows,zcrm_265928000000034003,Athens Services Inc,David,Patterson,MIS Manager,david@samplecompany.com,888-555-5555,865-555-5555,,Advertisement,Contacted,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,PO Box 60009,City of Industry,,91716-0009,Unite Kingdom,
zcrm_265928000000152085,Amelia Burrows,zcrm_265928000000034003,AmerisourceBergen Corporation,Linda,Burkett,CIO,linda@samplecompany.com,888-555-3333,865-555-3333,,Partner,Contacted,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,PO Box 1850,Corona,,92878-1850,United States,
zcrm_265928000000152087,Amelia Burrows,zcrm_265928000000034003,City of Hope National Medical Ctr,Michael,Friedman,CEO,michael.f@samplecompany.com,888-555-2887,865-555-2887,,External Referral,Lost Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,1500 Duarte Rd,Duarte,,91010-3012,France,
zcrm_265928000000152089,Amelia Burrows,zcrm_265928000000034003,City of Hope National Medical Ctr,MIKE,SAUK,CIO,msauk@samplecompany.com,888-555-4432,865-555-4432,,Online Store,Contacted,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,1500 Duarte Rd,Duarte,,91010-3012,United States,
zcrm_265928000000152091,Amelia Burrows,zcrm_265928000000034003,City of Hope National Medical Ctr,Ronald,Zelman,Network Manager,rzelman@samplecompany.com,888-555-7789,865-555-7789,,External Referral,Contacted,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,1500 Duarte Rd,Duarte,,91010-3012,United States,
zcrm_265928000000152095,Tai Chang,zcrm_265928000000034003,International Rectifier Corp,Aris,Khalil,Director MIS/CIO,aris@samplecompany.com,888-555-4599,865-555-4599,,Advertisement,Lost Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,233 Kansas St,El Segundo,,90245-4316,France,
zcrm_265928000000152097,Tai Chang,zcrm_265928000000034003,International Rectifier Corp,Eric,Lidow,President/CEO,eric@samplecompany.com,888-555-3335,865-555-3335,,Advertisement,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,233 Kansas St,El Segundo,,90245-4316,United States,
zcrm_265928000000152099,Amelia Burrows,zcrm_265928000000034003,International Rectifier Corp,Joe,Hackett,PC Administrator,jhackett1@samplecompany.com.com,888-555-7522,865-555-7522,,Cold Call,Contacted,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,233 Kansas St,El Segundo,,90245-4316,Germany,
zcrm_265928000000152101,Amelia Burrows,zcrm_265928000000034003,Republic Indemnity Company America,Dave,Alton,Director of MIS/Infrastructure,dave.alton@samplecompany.com,888-555-3344,865-555-3344,,Online Store,Lost Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,15821 Ventura Blvd Ste 370,Encino,,91436-2909,United States,
zcrm_265928000000152103,Amelia Burrows,zcrm_265928000000034003,Saxon Mortgage Inc,Michael,Sawyer,CEO,sawyerm@samplecompany.com.com,888-555-7763,865-555-7763,,Partner,Contacted,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,27121 Towne Centre Dr Ste 230,Foothill Ranch,,92610-2807,France,
zcrm_265928000000152107,Amelia Burrows,zcrm_265928000000034003,D H L Worldwide Express,Dawn,Koeller,Manager,dawn.koeller@samplecompany.com,888-555-9871,865-555-9871,,Online Store,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,4950 W 145th St,Hawthorne,,90250-6704,United States,
zcrm_265928000000152109,Amelia Burrows,zcrm_265928000000034003,Ace World Wide Moving & Stge,Scott,Ferguson,Project Manager of Logistics/CIO,s.ferguson@samplecompany.com,888-555-3456,865-555-3456,,Cold Call,Lost Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,15272 Bolsa Chica St,Huntington Beach,,92649-1243,United States,
zcrm_265928000000152111,Amelia Burrows,zcrm_265928000000034003,Electronics Source Book,Nir,Rahamim,Project Manager/IS Manager,nrahamim@samplecompany.com.com,888-555-8733,865-555-8733,,Employee Referral,Contacted,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,2121 Alton Pkwy Ste 200,Irvine,,92606-4955,Germany,
zcrm_265928000000152113,Quinn Rivers,zcrm_265928000000034003,H I D Corporation,Denis,Hebert,CEO,denis@samplecompany.com,888-555-4467,865-555-4467,,Partner,Contacted,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,9292 Jeronimo Rd,Irvine,,92618-1905,United States,
zcrm_265928000000152115,Amelia Burrows,zcrm_265928000000034003,H I D Corporation,Roger,Cressey,CIO,roger@samplecompany.com,888-555-8765,865-555-8765,,External Referral,Contacted,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,9292 Jeronimo Rd,Irvine,,92618-1905,France,
zcrm_265928000000152117,Amelia Burrows,zcrm_265928000000034003,H I D Corporation,Frank,Fernandez,Director of Human Resources,ffernandez@samplecompany.com,888-555-1237,865-555-1237,,Online Store,Junk Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,9292 Jeronimo Rd,Irvine,,92618-1905,United States,
zcrm_265928000000152119,Amelia Burrows,zcrm_265928000000034003,Irvine Regional Hospital Medcl Ctr,Daniel,Ausman,CEO,daniel.ausman@samplecompany.com,888-555-9876,865-555-9876,,Partner,Contacted,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,16200 Sand Canyon Ave,Irvine,,92618-3714,United States,
zcrm_265928000000152121,Amelia Burrows,zcrm_265928000000034003,Irvine Regional Hospital Medcl Ctr,Lucia,Emerich,Systems Administrator,lucia.emrich@samplecompany.com,888-555-2230,865-555-2230,,Advertisement,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,16200 Sand Canyon Ave,Irvine,,92618-3714,United States,
zcrm_265928000000152123,Amelia Burrows,zcrm_265928000000034003,Kaiser Electro Precision Inc,Brian,Dolan,Director of IS/CIO,brian.dolan@samplecompany.com,888-555-2231,865-555-2231,,External Referral,Lost Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,17000 Red Hill Ave,Irvine,,92614-5626,France,
zcrm_265928000000152125,Amelia Burrows,zcrm_265928000000034003,Kaiser Electro Precision Inc,George,Faulkner,President,georgef@samplecompany.com,888-555-2232,865-555-2232,,Advertisement,Contacted,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,17000 Red Hill Ave,Irvine,,92614-5626,United States,
zcrm_265928000000152127,Amelia Burrows,zcrm_265928000000034003,Kaiser Electro Precision Inc,Grant,Heathman,MIS Manager,gheathman@samplecompany.com,888-555-2233,865-555-2233,,Employee Referral,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,17000 Red Hill Ave,Irvine,,92614-5626,United States,
zcrm_265928000000152129,Amelia Burrows,zcrm_265928000000034003,Loma Linda V A Medical Center,Shane,Elliott,CIO,shane.elliott@samplecompany.com,888-555-2234,865-555-2234,,External Referral,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,11201 Benton St,Loma Linda,,92357-1000,United States,
zcrm_265928000000152131,Amelia Burrows,zcrm_265928000000034003,Authentic Fitness Corporation,Michael,Hugh,President/CEO,hugh@samplecompany.com,888-555-2235,865-555-2235,,Cold Call,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,6040 Bandini Blvd,Los Angeles,,90040-2905,Germany,
zcrm_265928000000152133,Amelia Burrows,zcrm_265928000000034003,Authentic Fitness Corporation,Sandeep,Jolly,Network Administrator,sjolly@samplecompany.com.COM,888-555-2236,865-555-2236,,Online Store,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,6040 Bandini Blvd,Los Angeles,,90040-2905,United States,
zcrm_265928000000152137,Amelia Burrows,zcrm_265928000000034003,Bear Stearns & Company Inc,Daniel,Vo,Senior LAN Administrator,dvo@samplecompany.com,888-555-2238,865-555-2238,,Advertisement,Lost Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,1999 Avenue of The Stars Fl 32,Los Angeles,,90067-6041,United States,
zcrm_265928000000152139,Amelia Burrows,zcrm_265928000000034003,Bear Stearns & Company Inc,John,Hernandez,IT DIRECTOR/CIO,john@samplecompany.com,888-555-2239,865-555-2239,,Employee Referral,Contacted,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,1999 Avenue of The Stars Fl 32,Los Angeles,,90067-6041,Germany,
zcrm_265928000000152143,Amelia Burrows,zcrm_265928000000034003,Ivy Hill Corporation,Jim,Wolfe,IT Director/CIO,jim@samplecompany.com,888-555-4451,865-555-4451,,Cold Call,Junk Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,4800 South Santa Fe Avenue,Los Angeles,,90058,United States,
zcrm_265928000000152145,Alicia Banks,zcrm_265928000000034003,Ivy Hill Corporation,Elease,Pilford,IT MGR,elease@samplecompany.com,888-555-4452,865-555-4452,,Advertisement,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,4800 S.Santa Fe Ave,Los Angeles,,90058,United States,
zcrm_265928000000152147,Amelia Burrows,zcrm_265928000000034003,Jensen Industries Corporation,Jacquiline,Shuler,DP/SYSTEMS MANAGER,jshuler@samplecompany.com,888-555-4453,865-555-4453,,Cold Call,Lost Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,1946 E 46th St,Los Angeles,,90058-2004,Germany,
zcrm_265928000000152149,Amelia Burrows,zcrm_265928000000034003,Metropolitan Water District,Maria,Larios,IS Administrator,maria@samplecompany.com,888-555-4454,865-555-4454,,Online Store,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,PO Box 54153,Los Angeles,,90054-0153,United States,
zcrm_265928000000152151,Alicia Banks,zcrm_265928000000034003,Occidental Petroleum Corporation,Ray,Irani,Chairman/CEO,ray.irani@samplecompany.com,888-555-4455,865-555-4455,,Partner,Contacted,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,10889 Wilshire Blvd,Los Angeles,,90024-4201,France,
zcrm_265928000000152153,Amelia Burrows,zcrm_265928000000034003,Occidental Petroleum Corporation,James,Hall,IT Plant Director/CIO,james_hall@samplecompany.com,888-555-4456,865-555-4456,,Cold Call,Junk Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,10889 Wilshire Blvd,Los Angeles,,90024-4201,United States,
zcrm_265928000000152155,Tai Chang,zcrm_265928000000034003,Salick Health Care Inc,Peter,Jessup,CEO,peter.jessup@samplecompany.com,888-555-4457,865-555-4457,,Partner,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,8201 Beverly Blvd,Los Angeles,,90048-4505,Germany,
zcrm_265928000000152157,Martha Hills,zcrm_265928000000034003,Salick Health Care Inc,Wes,Scruggs,CIO,wes@samplecompany.com,888-555-4458,865-555-4458,,Partner,Junk Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,8201 Beverly Blvd,Los Angeles,,90048-4505,United States,
zcrm_265928000000152159,Martha Hills,zcrm_265928000000034003,Salick Health Care Inc,David,Pan,Network Director,david.pan@samplecompany.com,888-555-4459,865-555-4459,,Cold Call,Lost Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,8201 Beverly Blvd,Los Angeles,,90048-4505,Germany,
zcrm_265928000000152161,Amelia Burrows,zcrm_265928000000034003,Wedbush Morgan Securities Inc,Jonathan,Jones,Systems Manager,jonathan.jones@samplecompany.com.com,888-555-4460,865-555-4460,,Partner,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,PO Box 30014,Los Angeles,,90030-0014,United States,
zcrm_265928000000152163,Amelia Burrows,zcrm_265928000000034003,E Trade Group Inc,David,Rickling,Lead Network Engineer,david@samplecompany.com,888-555-4461,865-555-4461,,Cold Call,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,4500 Bohannon Dr,Menlo Park,,94025-1029,United States,
zcrm_265928000000152165,Amelia Burrows,zcrm_265928000000034003,E Trade Group Inc,Josh,Levine,CIO,j.levine@samplecompany.com,888-555-4462,865-555-4462,,Online Store,Lost Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,4500 Bohannon Dr,Menlo Park,,94025-1029,Germany,
zcrm_265928000000152167,Amelia Burrows,zcrm_265928000000034003,E Trade Group Inc,Mitch,Kaplan,CEO,mitch@samplecompany.com,888-555-4463,865-555-4463,,Online Store,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,4500 Bohannon Dr,Menlo Park,,94025-1029,France,
zcrm_265928000000152169,Amelia Burrows,zcrm_265928000000034003,E Trade Group Inc,Willie,Jimenez,Network Engineer,willie.j@samplecompany.com,888-555-4464,865-555-4464,,Employee Referral,Lost Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,4500 Bohannon Dr,Menlo Park,,94025-1029,United States,
zcrm_265928000000152171,Amelia Burrows,zcrm_265928000000034003,Garfield Medical Center,Philip,Cohen,CEO,p.cohen@samplecompany.com,888-555-4465,865-555-4465,,Online Store,Lost Lead,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,525 N Garfield Ave,Monterey Park,,91754-1205,United States,
zcrm_265928000000152173,Amelia Burrows,zcrm_265928000000034003,Garfield Medical Center,Paul,Daly,IS Manager,paul.daly@samplecompany.com,888-555-4466,865-555-4466,,Partner,Contacted,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,2/27/13 10:38,,TRUE,,,USD,1,2/27/13 10:38,,,,525 N Garfield Ave,Monterey Park,,91754-1205,Unite Kingdom,
zcrm_265928000000152175,Amelia Burrows,zcrm_265928000000034003,Seal Seat Company,Kurt,Rocha,CEO,kurt@samplecompany.com,888-555-4467,865-555-4467,,Partner,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,1200 Monterey Pass Rd,Monterey Park,,91754-3617,United States,
zcrm_265928000000152177,Amelia Burrows,zcrm_265928000000034003,Seal Seat Company,Conrad,Zastoupil,IT Manager,conrad@samplecompany.com,888-555-4468,865-555-4468,,Cold Call,Contacted,ASP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,1200 Monterey Pass Rd,Monterey Park,,91754-3617,United States,
zcrm_265928000000152179,Amelia Burrows,zcrm_265928000000034003,Metropolitan State Hospital,Paul,Mello,DP Manager/CIO,paul.mello@samplecompany.com,888-555-4469,865-555-4469,,Online Store,Lost Lead,Large Enterprise,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,11401 Bloomfield Ave,Norwalk,,90650-2096,India,
zcrm_265928000000152181,Amelia Burrows,zcrm_265928000000034003,Metropolitan State Hospital,Steve,Druce,IT MGR,steve@samplecompany.com,888-555-5656,865-555-5656,,External Referral,Junk Lead,ERP,0,Patricia Boyle,zcrm_265928000000034003,Patricia Boyle,zcrm_265928000000034003,1/31/12 16:14,1/31/12 16:14,,FALSE,,,USD,1,1/31/12 16:14,,,,11401 Bloomfield Ave,Norwalk,,90650-2096,United States,
